Name,Rating,Engine,EPA Class,Drivetrain,Body Style,Brake Type,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Trans Type,Passenger Doors,Passenger Capacity,Base Curb Weight (lbs),Front Leg Room (in),Front Shoulder Room (in),Front Head Room (in),Wheelbase (in),"Track Width, Rear (in)","Height, Overall (in)","Length, Overall (in)","Track Width, Front (in)","Width, Max w/o mirrors (in)",SAE Net Horsepower ,Rear Brake Rotor Diam * Thickness (in),Front Brake Rotor Diam * Thickness (in),Front Wheel Size (in),Rear Wheel Size (in),Basic Miles/km,Basic Years,Corrosion Years,Drivetrain Years,Air Bag-Side Body-Rear,Air Bag-Side Head-Front,Air Bag-Side Head-Rear,Child Safety Rear Door Locks,Daytime Running Lights,Rollover Protection Bars,Fog Lamps,Parking Aid,Back-Up Camera
2021 Kia Niro,6,"Gas/Electric I-4, 1.6 L",Small Station Wagon,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3122,41.7,56,40.1,106.3,62.2,60.4,171.5,61.6,71.1,139,10.3,11,104,104,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2021 Tesla Model 3,8,Electric,Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4250,42.7,56.3,40.3,113.2,62.2,56.8,184.8,62.2,72.8,210,13.2,12.6,153,153,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2020 Tesla Model S,8,Electric,Large Cars,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,1,4,5,4883,42.7,57.7,38.8,116.5,66.9,56.9,196,65.4,77.3,275,14.4,14,152,152,50000,4,12,8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2021 Chevrolet Bolt EV,7,Electric,Small Station Wagon,Front Wheel Drive,4dr Car,Partially Regenerative Electro-Hydraulic,Aluminum,Aluminum,MacPherson Strut,Compound Crank (Torsion Beam),1,4,5,3563,41.6,54.6,39.7,102.4,59.1,62.8,164,59.1,69.5,200,10,11,127.5,127.5,36000,3,6,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Ford Mustang Mach-E,9,Electric,Small Station Wagon,Rear Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4727,43.3,57.6,40.4,117.5,63.4,64,186,63.5,70.1,290,11,13.4,144,144,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Volkswagen ID.4,7,Electric,Small SUV 2WD,Rear Wheel Drive,Sport Utility,Front Disc/Rear Drum,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4665,41.1,57.5,41.1,108.9,61.6,64.4,180.5,62.5,72.9,201,11,13.4,160,180,50000,4,7,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2022 Honda Accord,7,"Gas/Electric I-4, 2.0 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3388,42.3,58.3,37.5,111.4,63.4,57.1,196.1,63,73.3,212,11.1,12.3,127.5,127.5,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2022 Toyota Camry,7,"Gas/Electric I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Steel,Steel,Strut,Multi-Link,1,4,5,3480,42.1,57.7,38.3,111.2,63.2,56.9,192.1,63,72.4,208,11.1,12,104,104,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2022 Ford Mustang Mach-E,8,Electric,Small Station Wagon,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4727,43.3,57.6,40.4,117.5,63.4,63.9,186,63.5,70.1,346,11,13.4,144,144,36000,3,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2021 Nissan Leaf,7,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Steel,Steel,Strut,Torsion Beam,1,4,5,3538,42.1,54.3,41.2,106.3,61.2,61.4,176.4,60.6,70.5,147,11.5,11.1,104,104,36000,3,5,5,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
